City_ID,City,Country,Lat,Lng,Current Description,Max Temp,Cloudiness,Humidity,Rain (inches),Snow (inches),Wind Speed
247,lompoc,US,34.64,-120.46,few clouds,68.0,17,68,0.0,0,11.41
248,adeje,ES,28.12,-16.73,few clouds,75.0,20,73,0.0,0,20.8
249,ancud,CL,-41.87,-73.82,overcast clouds,48.0,90,100,0.0,0,6.93
250,nucet,RO,44.78,25.55,clear sky,77.0,0,56,0.0,0,3.36
251,flinders,AU,-34.58,150.86,clear sky,55.99,0,72,0.0,0,10.0
252,sola,VU,-13.88,167.55,broken clouds,78.12,66,80,0.0,0,25.48
253,neuquen,AR,-38.95,-68.06,broken clouds,42.8,75,93,0.0,0,2.24
254,lagoa,PT,39.05,-27.98,clear sky,66.87,0,80,0.0,0,7.49
255,chesterton,US,41.61,-87.06,clear sky,84.2,1,51,0.0,0,5.82
256,yulara,AU,-25.24,130.99,scattered clouds,50.0,49,61,0.0,0,10.29
257,hot springs,US,34.5,-93.06,few clouds,93.2,20,59,0.0,0,6.93
258,nelspruit,ZA,-25.47,30.97,clear sky,57.2,0,54,0.0,0,6.93
259,kurumkan,RU,54.3,110.3,clear sky,73.56,0,52,0.0,0,2.59
260,bako,ET,5.78,36.57,overcast clouds,61.68,95,87,0.0,0,3.98
261,anchorage,US,61.22,-149.9,clear sky,69.8,1,46,0.0,0,2.59
262,saldanha,ZA,-33.01,17.94,scattered clouds,50.0,29,87,0.0,0,1.12
263,el angel,EC,0.62,-77.93,light rain,44.35,82,100,0.13,0,1.57
264,petropavlovsk-kamchatskiy,RU,53.05,158.65,scattered clouds,57.2,40,71,0.0,0,6.71
265,tiksi,RU,71.69,128.87,scattered clouds,35.17,37,90,0.0,0,12.91
266,balkanabat,TM,39.51,54.37,broken clouds,81.39,64,16,0.0,0,15.55
267,puerto leguizamo,CO,-0.19,-74.78,light rain,73.92,99,94,0.13,0,0.47
268,rovaniemi,FI,66.5,25.72,few clouds,48.2,17,81,0.0,0,5.82
269,weston,US,26.1,-80.4,light rain,84.99,67,69,0.76,0,1.01
270,vysha,RU,53.85,42.38,few clouds,60.37,11,93,0.0,0,4.76
271,goure,NE,13.98,10.27,scattered clouds,89.01,36,48,0.0,0,3.0
272,shumyachi,RU,53.86,32.42,broken clouds,64.2,83,95,0.0,0,4.56
273,pokrovsk,UA,48.28,37.18,broken clouds,66.85,52,68,0.0,0,7.81
274,morgan city,US,29.7,-91.21,clear sky,87.8,1,74,0.0,0,6.93
275,burnie,AU,-41.07,145.92,scattered clouds,48.0,25,66,0.0,0,5.99
276,perry,US,37.25,-83.2,clear sky,84.2,1,51,0.0,0,3.96
277,saint-augustin,CA,51.23,-58.65,broken clouds,47.98,54,83,0.0,0,3.47
278,nanortalik,GL,60.14,-45.24,overcast clouds,43.39,100,77,0.0,0,5.35
279,saint george,US,37.1,-113.58,clear sky,97.0,1,11,0.0,0,16.11
280,ottawa,CA,45.41,-75.7,broken clouds,75.99,75,88,0.0,0,4.7
281,shakhtinsk,KZ,49.71,72.59,broken clouds,51.8,75,93,0.0,0,6.71
282,ifanadiana,MG,-21.3,47.63,scattered clouds,55.27,34,93,0.0,0,2.8
